iter	Passed	Remaining
644	2114	1164
645	2117	1160
646	2121	1157
647	2127	1155
648	2130	1152
649	2133	1148
650	2136	1145
651	2141	1143
652	2145	1140
653	2148	1136
654	2151	1133
655	2155	1130
656	2159	1127
657	2163	1124
658	2166	1120
659	2169	1117
660	2174	1115
661	2177	1111
662	2180	1108
663	2183	1104
664	2186	1101
665	2191	1098
666	2194	1095
667	2197	1092
668	2200	1088
669	2203	1085
670	2207	1082
671	2210	1079
672	2214	1075
673	2216	1072
674	2219	1068
675	2224	1066
676	2227	1062
677	2230	1059
678	2233	1055
679	2236	1052
680	2240	1049
681	2243	1046
682	2246	1042
683	2249	1039
684	2254	1036
685	2257	1033
686	2261	1030
687	2264	1026
688	2267	1023
689	2272	1020
690	2275	1017
691	2278	1014
692	2282	1011
693	2286	1008
694	2289	1004
695	2292	1001
696	2305	1002
697	2308	998
698	2312	995
699	2315	992
700	2320	989
701	2323	986
702	2326	982
703	2329	979
704	2332	975
705	2337	973
706	2340	969
707	2343	966
708	2346	963
709	2351	960
710	2355	957
711	2359	954
712	2362	951
713	2367	948
714	2371	945
715	2374	941
716	2377	938
717	2381	935
718	2385	932
719	2389	929
720	2392	925
721	2395	922
722	2399	919
723	2403	916
724	2406	912
725	2409	909
726	2412	905
727	2417	903
728	2420	899
729	2423	896
730	2427	893
731	2431	890
732	2434	886
733	2437	883
734	2441	880
735	2445	877
736	2449	874
737	2452	870
738	2455	867
739	2459	864
740	2463	861
741	2467	857
742	2470	854
743	2473	851
744	2476	847
745	2481	844
746	2484	841
747	2487	837
748	2490	834
749	2493	831
750	2498	828
751	2501	825
752	2504	821
753	2508	818
754	2512	815
755	2515	811
756	2518	808
757	2521	805
758	2525	801
759	2529	798
760	2532	795
761	2535	791
762	2539	788
763	2542	785
764	2546	782
765	2549	778
766	2552	775
767	2555	772
768	2560	769
769	2563	765
770	2566	762
771	2569	758
772	2572	755
773	2577	752
774	2579	749
775	2582	745
776	2586	742
777	2589	738
778	2593	735
779	2596	732
780	2599	729
781	2602	725
782	2606	722
783	2611	719
784	2614	715
785	2617	712
786	2620	709
787	2623	705
788	2627	702
789	2630	699
790	2633	695
791	2636	692
792	2640	689
793	2644	685
794	2647	682
795	2650	679
796	2653	675
797	2658	672
798	2661	669
799	2665	666
800	2668	662
801	2671	659
802	2675	656
803	2678	652
804	2680	649
805	2684	646
806	2687	642
807	2691	639
808	2694	636
809	2697	632
810	2700	629
811	2704	626
812	2707	622
813	2710	619
814	2713	615
815	2716	612
816	2720	609
817	2723	605
818	2726	602
819	2729	599
820	2732	595
821	2735	592
822	2739	589
